BIS Statistics Explorer
"Table D10.3: OTC, credit default swaps, by remaining maturity"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","X:Residual financial institutions ( for reporting only)","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:N:X:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,21036,20644,101040,160282,238005,325009,341343,371835,234665,205808,150427,63549,49486,66569,102084,84944,88077,66750,77731,57894,76890,61104,55375
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","E:Other financial institutions","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:N:E:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,226163,257537,307332,435188,572874,789148,884538,1091437,864117,1053881,853718,955760,887380,997977,1146205,1109292,1187732,1036265,862143,924726,772320,644351,730813
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","A:All instruments","S:Central counterparties","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:A:S:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220456,277923,335324,297429,296128,149041,106320,111039,139416,119335,153436,126657
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","W:Hedge funds","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:A:Y:N:W:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,10695,40661,28321,48311,48636,91207,83120,98912,49019,33241,20913,96584,75595,111792,86849,92664,56152,68800,61969,73723,44424,49425,18694
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","U:Insurance and financial guaranty firms","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:A:Y:A:U:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,32118,60942,121870,117076,134368,138135,260254,175641,174900,161810,134148,137305,139585,174107,175482,161139,170916,161535,146883,135699,168187,133382,119040
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","A:All instruments","T:Banks and security firms","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:S:Y:A:T:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,32748,58031,121555,159027,189210,319413,328967,471399,401935,622919,523477,484517,385723,399363,370416,353697,371052,261470,198774,238612,142080,104361,107798
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","A:All instruments","F:Non-financial customers","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:S:Y:A:F:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,165844,181170,214573,200851,314493,202294,165430,179133,171502,452017,483042,276098,139897,93302,81105,82438,91324,67133,81998,85330,82296,82491,72353
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","T:Banks and security firms","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:S:Y:O:T:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,11484,24413,23274,32624,38069,77511,52471,115129,94816,206097,171111,122422,89966,118969,99989,102224,112570,55867,50143,76859,40447,27580,30209
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","N:Single-name CDS","U:Insurance and financial guaranty firms","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:T:Y:N:U:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,2621,1922,5494,12236,17461,17919,30970,49585,47355,50171,42203,23715,28609,11231,8533,7083,5733,3545,3634,3510,3228,2592,1860
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","S:Central counterparties","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:O:S:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119938,150473,175025,161916,182597,81123,51759,63911,82381,69437,94504,76266
