BIS Statistics Explorer
"Table D5.2: Global OTC derivatives market"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","C:Reporting dealers (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:C:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,2751782,4852683,6937821,10608598,16292457,23315544,32276030,33161494,25034602,19198377,17717191,15774430,15098691,17348403,16631940,15747427,14148828,13728201,11052786,9540194,7716987,6503200,5451279
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","H:Total commodities (Sum of codes E, F and G)","K:Options bought","B:All counterparties (gross)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:H:K:B:A:5A:5J,119213,119596,142178,166279,203688,228232,186818,190924,255063,254205,272306,526666,404444,471972,679909,2081469,2761191,2822818,2694533,2098746,1934251,1241500,1002656,654939,682259,568961,662954,639758,629548,582822,552636,472416,463134,404013,347854,276194
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","V:SPVs, SPCs, or SPEs","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:V:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,101792,107598,51963,76676,121065,104387,116597,106593,152673,109001,158855,521642,360084,528333,409450,458278,586879,372431,362931,270437,219037,185586,170112
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5F:Other Asian countries",H:N:A:Y:A:A:A:5A:5F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187384,169553,148145,126626,100390,101995
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","1E:Residents",H:N:A:Y:A:A:A:5A:1E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5928421,5540312,5358831,6105947,4743613,4091029,3733973,3422504,3509505,2893996
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","E:Gold","K:Options bought","B:All counterparties (gross)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:E:K:B:A:5A:5J,48027,59302,61228,74801,85064,71760,70477,80920,100831,113394,105185,117312,118112,146383,118929,160037,269377,281955,230012,310992,345892,169555,127008,136194,122179,100138,115154,126732,127608,118928,131217,84367,81119,89760,55855,77908
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","X:Residual financial institutions ( for reporting only)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:X:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,408017,478871,2374819,3474761,5331704,8114157,10266247,8723798,4233221,3649961,2858887,1245452,1461876,1323386,1274690,1124930,1063443,985762,931114,901357,1097796,999309,665373
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","$5J-1E",H:N:A:Y:A:A:A:5A:$5J-1E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29897578.000000,26481023.000000,23085843.000000,21571489.000000,18962504.000000,19605589.000000,16928794.000000,15728201.000000,12976395.000000,11084745.000000,9399636.000000
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","F:Precious metals","K:Options bought","B:All counterparties (gross)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:F:K:B:A:5A:5J,6060,16014,28831,33266,49747,45861,11828,11712,22983,20791,21680,10310,10856,20996,18312,19650,29917,26197,25121,28984,46754,33878,32008,17674,30071,22162,38372,42504,48387,52596,28381,17840,26139,18755,14164,12050
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","Y:Credit default swaps (CDS)","A:All instruments","S:Central counterparties","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:Y:A:S:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63750,78134,93020,126220,108590,78299,87005,122653,143101,143838,117033,116550
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","G:Other commodities","K:Options bought","B:All counterparties (gross)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:G:K:B:A:5A:5J,65126,44280,52119,58212,68877,110611,104513,98292,131249,120020,145441,399044,275476,304593,542668,1901782,2461897,2514666,2439400,1758770,1541605,1038067,843640,501071,530009,446661,509428,470522,453553,411298,393038,370209,355876,295498,277835,186236
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","E:Other financial institutions","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:E:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,3120733,4885509,6334885,9017148,11266863,18383446,25241239,23296814,16353286,15380709,13400068,13642747,14488594,14822978,11797019,10996121,10719223,10428382,9779444,9719040,8484891,7884836,6652360
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","US:United States",H:N:A:Y:A:A:A:5A:US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131890,4485699,4013674,3411927,3158988,2575264
"H:Half-yearly","N:Derivatives statistics","$E+F","A:Total contracts","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:$E+F:A:A:A:A:5A:5J,1202805.000000,1328580.000000,1119372.000000,1023011.000000,936961.000000,1080349.000000,1019132.000000,1170902.000000,1316794.000000,1510743.000000,1749555.000000,1968741.000000,1477709.000000,2075213.000000,1896615.000000,1900213.000000,2031888.000000,2036195.000000,2671677.000000,3255512.000000,3858685.000000,5005211.000000,3744105.000000,3520668.000000,3580775.000000,3479980.000000,2970889.000000,3938474.000000,3691844.000000,3611530.000000,3784403.000000,3032749.000000,2825544.000000,3355012.000000,2869884.000000,2853226.000000
